State Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver License Status,Alcohol Involvement,Accident Location Details
Jammu and Kashmir,2020,December,Sunday,22:39,Serious,3,Bus,8,5,Clear,National Highway,Under Construction,Dark,None,51,25,Expired,Yes,Bridge
Mizoram,2021,August,Sunday,21:33,Minor,1,Cycle,9,0,Rainy,State Highway,Damaged,Dusk,Signals,86,35,Expired,No,Curve
Rajasthan,2021,June,Wednesday,08:32,Serious,4,Two-Wheeler,13,2,Clear,Urban Road,Damaged,Dawn,None,105,33,Valid,Yes,Curve
Haryana,2020,September,Friday,06:33,Serious,4,Auto-Rickshaw,10,1,Rainy,Village Road,Wet,Daylight,Signals,56,37,Expired,Yes,Intersection
West Bengal,2022,January,Wednesday,01:43,Minor,1,Truck,8,5,Foggy,Village Road,Wet,Dusk,Signals,95,51,None,No,Bridge
Assam,2021,October,Saturday,06:52,Fatal,1,Truck,5,5,Clear,Urban Road,Damaged,Dusk,Signs,37,34,None,Yes,Bridge
Uttar Pradesh,2020,March,Friday,12:31,Fatal,5,Cycle,14,2,Foggy,Village Road,Damaged,Dusk,Signals,108,34,Expired,Yes,Straight Road
Bihar,2018,April,Thursday,20:43,Serious,5,Auto-Rickshaw,9,5,Clear,State Highway,Wet,Dark,Police Checkpost,55,38,Valid,Yes,Intersection
Mizoram,2023,October,Saturday,17:58,Minor,3,Car,13,1,Foggy,State Highway,Wet,Dusk,None,117,20,None,No,Intersection
Himachal Pradesh,2018,November,Sunday,07:05,Minor,3,Truck,14,0,Rainy,State Highway,Wet,Dusk,Signals,109,61,None,No,Straight Road
Tamil Nadu,2021,May,Wednesday,21:47,Serious,4,Bus,8,1,Clear,National Highway,Damaged,Dawn,Signals,40,30,Expired,No,Intersection
Goa,2022,October,Tuesday,20:31,Fatal,5,Truck,15,0,Rainy,State Highway,Under Construction,Daylight,Signals,94,31,None,Yes,Intersection
Goa,2020,November,Wednesday,17:25,Minor,1,Two-Wheeler,6,3,Stormy,State Highway,Under Construction,Dusk,Police Checkpost,55,49,Valid,No,Intersection
Puducherry,2023,September,Thursday,05:38,Fatal,1,Auto-Rickshaw,4,0,Rainy,State Highway,Damaged,Daylight,Signals,52,49,Expired,Yes,Intersection
Tamil Nadu,2023,December,Monday,01:56,Serious,1,Bus,7,5,Rainy,State Highway,Damaged,Dusk,Signals,87,49,Expired,No,Intersection
Tamil Nadu,2019,September,Thursday,22:05,Fatal,3,Bus,8,5,Stormy,Village Road,Under Construction,Dusk,Signals,51,34,None,Yes,Intersection
Nagaland,2020,June,Wednesday,17:09,Minor,5,Cycle,8,2,Stormy,Urban Road,Dry,Daylight,Police Checkpost,54,37,None,No,Intersection
Punjab,2019,September,Wednesday,01:43,Fatal,2,Two-Wheeler,9,0,Clear,Urban Road,Wet,Daylight,None,87,32,Valid,Yes,Straight Road
Uttarakhand,2022,September,Saturday,21:34,Minor,2,Truck,9,0,Clear,Village Road,Damaged,Dark,Police Checkpost,71,43,None,No,Curve
Tamil Nadu,2023,September,Wednesday,00:21,Minor,5,Bus,12,3,Stormy,State Highway,Dry,Dark,Signals,62,26,Valid,No,Intersection
Sikkim,2019,June,Sunday,17:00,Serious,5,Car,15,5,Rainy,National Highway,Damaged,Dark,Signals,118,54,None,Yes,Bridge
Punjab,2021,April,Friday,15:48,Minor,4,Pedestrian,12,0,Rainy,National Highway,Damaged,Dusk,Signs,79,59,Expired,No,Curve
Assam,2018,February,Saturday,20:02,Fatal,4,Bus,10,3,Clear,Urban Road,Under Construction,Dawn,Police Checkpost,59,33,None,Yes,Bridge
Punjab,2019,May,Friday,19:05,Serious,5,Two-Wheeler,12,5,Stormy,State Highway,Wet,Dawn,Signals,80,38,Valid,Yes,Intersection
Himachal Pradesh,2020,May,Friday,18:56,Minor,5,Car,7,1,Clear,State Highway,Wet,Dawn,Signals,33,29,Valid,No,Intersection
Meghalaya,2023,November,Wednesday,01:34,Serious,5,Truck,12,1,Foggy,Urban Road,Under Construction,Dawn,Signals,81,53,None,Yes,Bridge
Himachal Pradesh,2021,May,Tuesday,00:37,Minor,2,Car,7,0,Clear,Village Road,Dry,Dark,None,64,57,None,No,Straight Road
Jammu and Kashmir,2018,May,Saturday,15:16,Minor,5,Two-Wheeler,15,3,Snowy,National Highway,Dry,Daylight,Police Checkpost,83,29,Expired,No,Intersection
Delhi,2018,November,Wednesday,10:45,Fatal,1,Truck,10,3,Clear,Urban Road,Under Construction,Daylight,Signals,105,23,Valid,Yes,Bridge
Goa,2023,March,Thursday,13:47,Minor,5,Truck,11,2,Stormy,National Highway,Wet,Dusk,Signals,75,61,None,No,Straight Road
Puducherry,2020,February,Wednesday,18:48,Fatal,1,Car,10,0,Foggy,Urban Road,Wet,Dark,Police Checkpost,106,44,Expired,Yes,Bridge
Jammu and Kashmir,2019,November,Sunday,00:51,Fatal,2,Auto-Rickshaw,7,2,Rainy,Village Road,Dry,Dawn,None,50,50,Expired,Yes,Straight Road
Arunachal Pradesh,2021,December,Wednesday,09:40,Minor,4,Auto-Rickshaw,9,0,Clear,Village Road,Dry,Dark,None,51,42,Expired,No,Intersection
Karnataka,2019,July,Friday,22:19,Fatal,2,Truck,8,2,Foggy,National Highway,Under Construction,Daylight,Signals,72,57,Valid,Yes,Bridge
Goa,2022,May,Wednesday,06:36,Minor,4,Bus,11,0,Clear,National Highway,Dry,Dark,Signs,91,51,None,No,Straight Road
Delhi,2023,March,Tuesday,22:57,Fatal,2,Bus,7,1,Rainy,State Highway,Damaged,Dark,None,65,38,Valid,Yes,Bridge
Chhattisgarh,2022,October,Friday,00:30,Minor,5,Cycle,12,5,Foggy,National Highway,Under Construction,Dawn,Police Checkpost,55,41,Expired,No,Curve
Haryana,2019,December,Sunday,23:51,Serious,2,Auto-Rickshaw,5,2,Rainy,Village Road,Dry,Dawn,Police Checkpost,53,20,Valid,No,Curve
Haryana,2019,January,Friday,15:02,Fatal,3,Two-Wheeler,5,1,Foggy,Village Road,Under Construction,Daylight,Signals,40,6,Valid,Yes,Straight Road
Assam,2023,February,Saturday,19:28,Minor,4,Car,13,4,Rainy,National Highway,Damaged,Dusk,None,115,37,Valid,No,Intersection
Madhya Pradesh,2023,June,Friday,15:24,Minor,2,Pedestrian,11,2,Clear,National Highway,Under Construction,Dawn,Signals,110,48,None,No,Straight Road
Meghalaya,2022,August,Thursday,11:47,Fatal,4,Cycle,14,0,Foggy,National Highway,Damaged,Dark,None,107,30,Expired,Yes,Straight Road
Chandigarh,2022,March,Thursday,16:43,Minor,2,Auto-Rickshaw,12,5,Clear,National Highway,Damaged,Dusk,Signs,95,65,Expired,No,Straight Road
Rajasthan,2020,May,Monday,22:59,Serious,1,Pedestrian,12,1,Clear,National Highway,Dry,Daylight,Signals,111,37,Valid,Yes,Straight Road
Punjab,2021,February,Wednesday,11:35,Serious,4,Auto-Rickshaw,12,0,Rainy,State Highway,Damaged,Dark,None,79,30,Valid,No,Curve
Assam,2020,October,Monday,04:48,Serious,4,Cycle,14,1,Rainy,Village Road,Under Construction,Daylight,Police Checkpost,113,40,Valid,Yes,Bridge
Telangana,2022,June,Friday,17:52,Fatal,4,Pedestrian,13,5,Clear,National Highway,Damaged,Daylight,None,101,67,Valid,Yes,Bridge
Uttarakhand,2022,November,Wednesday,15:48,Fatal,1,Cycle,9,0,Clear,State Highway,Damaged,Daylight,Signals,90,38,None,Yes,Curve
Karnataka,2021,March,Wednesday,03:38,Serious,3,Car,11,4,Rainy,Village Road,Damaged,Dusk,Police Checkpost,86,44,Expired,Yes,Bridge
Delhi,2018,November,Wednesday,09:22,Fatal,4,Cycle,11,4,Stormy,Village Road,Dry,Dawn,Signals,79,57,Valid,Yes,Curve
Maharashtra,2018,November,Tuesday,00:40,Serious,4,Auto-Rickshaw,13,0,Clear,Village Road,Wet,Dusk,Police Checkpost,113,42,Valid,Yes,Intersection
Uttarakhand,2018,October,Wednesday,23:54,Serious,5,Auto-Rickshaw,12,2,Rainy,Village Road,Dry,Daylight,Signals,62,45,Expired,No,Straight Road
Himachal Pradesh,2023,October,Sunday,07:45,Minor,2,Auto-Rickshaw,7,3,Clear,State Highway,Wet,Dawn,Signals,39,37,Valid,No,Intersection
Odisha,2019,September,Sunday,20:20,Fatal,5,Two-Wheeler,14,3,Stormy,Urban Road,Dry,Dawn,Signals,95,24,None,Yes,Intersection
Tamil Nadu,2021,September,Tuesday,04:20,Fatal,4,Bus,12,0,Clear,Village Road,Wet,Dusk,None,72,59,None,Yes,Intersection
Haryana,2019,August,Monday,14:16,Fatal,4,Bus,10,4,Clear,State Highway,Dry,Daylight,Signs,69,29,None,Yes,Straight Road
Kerala,2021,February,Sunday,05:08,Minor,1,Bus,4,0,Rainy,Village Road,Under Construction,Dawn,Signs,43,16,Expired,No,Straight Road
Odisha,2022,June,Tuesday,22:37,Minor,1,Truck,11,4,Rainy,Urban Road,Wet,Daylight,Police Checkpost,111,34,Valid,No,Intersection
Goa,2023,March,Thursday,14:05,Fatal,1,Car,10,5,Clear,National Highway,Under Construction,Daylight,None,100,32,None,Yes,Straight Road
Assam,2022,August,Wednesday,15:59,Minor,5,Bus,9,0,Clear,Urban Road,Under Construction,Daylight,Signals,35,37,None,No,Bridge
Nagaland,2021,September,Sunday,02:15,Fatal,2,Truck,10,0,Rainy,Urban Road,Dry,Dark,Signals,78,33,Valid,Yes,Straight Road
Arunachal Pradesh,2021,January,Thursday,14:23,Minor,1,Truck,11,4,Rainy,State Highway,Dry,Dawn,Signs,114,37,None,No,Curve
Rajasthan,2022,June,Wednesday,02:29,Fatal,3,Bus,10,5,Stormy,State Highway,Dry,Daylight,Signals,78,48,None,Yes,Straight Road
Chandigarh,2018,March,Wednesday,20:02,Fatal,2,Two-Wheeler,9,3,Rainy,National Highway,Wet,Dusk,None,92,29,Expired,Yes,Straight Road
Himachal Pradesh,2021,August,Monday,21:34,Fatal,4,Bus,12,1,Clear,State Highway,Damaged,Dark,Police Checkpost,91,56,Expired,Yes,Curve
Goa,2023,October,Wednesday,19:24,Fatal,1,Auto-Rickshaw,8,1,Stormy,State Highway,Under Construction,Dark,Police Checkpost,75,47,Valid,Yes,Bridge
Tripura,2020,February,Friday,11:09,Minor,2,Bus,11,2,Clear,Village Road,Wet,Dusk,Signs,105,34,Valid,No,Curve
Chandigarh,2021,June,Wednesday,17:17,Minor,4,Truck,12,5,Rainy,National Highway,Damaged,Dark,Signs,93,49,Valid,No,Curve
Madhya Pradesh,2021,February,Friday,22:52,Minor,1,Bus,9,5,Rainy,Urban Road,Dry,Dark,Signs,93,61,None,No,Straight Road
Meghalaya,2021,April,Thursday,13:59,Fatal,5,Pedestrian,16,3,Foggy,Urban Road,Dry,Daylight,None,113,70,None,Yes,Curve
Puducherry,2019,August,Friday,21:34,Minor,2,Car,6,1,Rainy,National Highway,Under Construction,Dawn,Police Checkpost,35,47,Valid,No,Curve
Jharkhand,2023,November,Monday,19:39,Fatal,5,Car,12,5,Foggy,Urban Road,Under Construction,Dark,Police Checkpost,90,48,Valid,Yes,Intersection
Chandigarh,2021,February,Wednesday,02:28,Fatal,2,Auto-Rickshaw,10,4,Rainy,State Highway,Damaged,Daylight,Police Checkpost,100,57,None,Yes,Curve
Tamil Nadu,2022,September,Wednesday,15:18,Minor,3,Truck,14,5,Rainy,State Highway,Wet,Dark,Police Checkpost,110,36,Valid,No,Bridge
Telangana,2018,March,Thursday,02:18,Minor,1,Truck,4,5,Foggy,Urban Road,Under Construction,Daylight,None,39,28,None,No,Bridge
Jharkhand,2020,April,Wednesday,09:34,Serious,2,Car,10,3,Clear,State Highway,Dry,Dawn,Signs,95,20,Valid,Yes,Curve
West Bengal,2022,March,Wednesday,22:37,Fatal,3,Cycle,8,5,Foggy,State Highway,Wet,Dark,Signs,39,30,None,Yes,Bridge
Uttar Pradesh,2020,May,Saturday,00:39,Fatal,1,Auto-Rickshaw,9,5,Foggy,National Highway,Damaged,Dark,None,79,40,Valid,Yes,Straight Road
Nagaland,2022,September,Tuesday,06:45,Serious,3,Truck,10,3,Clear,National Highway,Damaged,Dark,Signals,94,13,None,No,Curve
Jammu and Kashmir,2023,December,Wednesday,03:51,Minor,2,Cycle,10,0,Snowy,National Highway,Under Construction,Dawn,None,95,33,Expired,No,Bridge
Maharashtra,2023,April,Sunday,08:15,Serious,5,Two-Wheeler,13,5,Stormy,Village Road,Damaged,Dark,Signals,105,35,Expired,Yes,Curve
Mizoram,2019,January,Sunday,16:11,Fatal,5,Auto-Rickshaw,12,0,Clear,State Highway,Damaged,Dark,None,88,38,Valid,Yes,Bridge
Uttarakhand,2020,June,Sunday,03:49,Minor,2,Pedestrian,6,1,Stormy,Village Road,Wet,Daylight,Signals,38,39,None,No,Curve
Sikkim,2019,May,Sunday,21:07,Minor,3,Pedestrian,8,2,Clear,Urban Road,Dry,Dusk,Police Checkpost,30,49,Valid,No,Curve
Goa,2020,February,Monday,09:39,Fatal,2,Auto-Rickshaw,13,4,Foggy,Urban Road,Under Construction,Dark,Signals,117,53,Valid,Yes,Curve
Nagaland,2021,January,Monday,02:53,Fatal,5,Cycle,14,3,Rainy,State Highway,Wet,Daylight,Signals,115,21,Expired,Yes,Intersection
Karnataka,2022,June,Friday,21:24,Fatal,5,Cycle,11,0,Stormy,National Highway,Damaged,Dusk,Signals,53,34,Expired,Yes,Straight Road
Himachal Pradesh,2020,May,Monday,08:26,Serious,1,Bus,9,2,Clear,State Highway,Damaged,Dusk,Signals,88,56,Valid,No,Straight Road
Telangana,2018,February,Monday,20:53,Minor,3,Car,8,3,Stormy,State Highway,Under Construction,Daylight,Signs,63,21,Expired,No,Straight Road
Kerala,2022,March,Wednesday,09:37,Fatal,4,Bus,7,1,Rainy,National Highway,Damaged,Dawn,Signs,46,23,Expired,Yes,Intersection
Haryana,2021,October,Wednesday,07:58,Fatal,5,Truck,13,5,Clear,State Highway,Under Construction,Dusk,Signals,95,64,None,Yes,Intersection
Delhi,2020,November,Monday,22:58,Minor,5,Two-Wheeler,13,4,Foggy,State Highway,Dry,Dark,Police Checkpost,105,29,None,No,Intersection
Himachal Pradesh,2019,February,Tuesday,04:01,Minor,3,Truck,10,0,Rainy,National Highway,Wet,Dawn,Police Checkpost,79,53,Valid,No,Bridge
Arunachal Pradesh,2021,September,Sunday,11:21,Minor,3,Pedestrian,13,1,Clear,State Highway,Wet,Dark,Police Checkpost,112,28,Valid,No,Bridge
Assam,2022,May,Sunday,02:28,Fatal,5,Bus,14,5,Foggy,State Highway,Wet,Dark,Signals,90,23,None,Yes,Straight Road
Kerala,2023,March,Monday,02:43,Serious,1,Bus,10,1,Clear,National Highway,Damaged,Daylight,Signals,105,27,Valid,Yes,Bridge
Punjab,2020,September,Friday,11:11,Minor,4,Two-Wheeler,9,5,Foggy,National Highway,Under Construction,Dark,None,52,36,Valid,No,Bridge
Jharkhand,2021,February,Friday,06:55,Minor,4,Pedestrian,9,0,Clear,National Highway,Dry,Dawn,Signals,63,12,Expired,No,Bridge
Punjab,2018,July,Thursday,05:06,Fatal,5,Truck,16,2,Clear,Urban Road,Wet,Dark,Signs,120,49,None,Yes,Bridge
Jharkhand,2020,September,Monday,00:07,Minor,3,Truck,12,2,Stormy,State Highway,Under Construction,Dark,Signals,108,23,None,No,Bridge
Gujarat,2018,March,Friday,13:47,Minor,5,Two-Wheeler,11,2,Stormy,Village Road,Dry,Dark,None,45,35,Expired,No,Curve
Goa,2018,May,Wednesday,13:46,Minor,2,Bus,10,0,Rainy,Village Road,Under Construction,Dusk,None,99,38,Expired,No,Intersection
Uttar Pradesh,2022,December,Thursday,08:30,Fatal,2,Truck,12,0,Clear,Village Road,Dry,Dawn,None,115,61,Valid,Yes,Bridge
Sikkim,2018,December,Friday,11:49,Minor,4,Truck,15,5,Foggy,Urban Road,Under Construction,Daylight,Signals,117,73,Expired,No,Straight Road
Maharashtra,2020,October,Thursday,20:01,Minor,2,Auto-Rickshaw,6,5,Rainy,Urban Road,Under Construction,Dawn,Police Checkpost,45,55,Expired,No,Intersection
Mizoram,2021,September,Saturday,21:08,Minor,3,Two-Wheeler,12,1,Clear,Village Road,Dry,Dark,Signs,111,37,None,No,Curve
Odisha,2018,October,Monday,16:24,Fatal,2,Auto-Rickshaw,8,0,Rainy,State Highway,Under Construction,Dusk,Signs,82,38,Valid,Yes,Intersection
Uttarakhand,2018,March,Tuesday,21:54,Minor,4,Cycle,14,3,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,109,26,None,No,Intersection
Madhya Pradesh,2022,November,Sunday,16:53,Minor,2,Two-Wheeler,10,4,Clear,State Highway,Wet,Dawn,None,100,26,Expired,No,Straight Road
Chhattisgarh,2021,October,Sunday,18:38,Minor,1,Car,9,0,Clear,Village Road,Under Construction,Dawn,Signs,105,47,Valid,No,Curve
Meghalaya,2023,February,Saturday,01:24,Serious,4,Bus,11,4,Clear,Urban Road,Dry,Dark,Signs,74,37,None,Yes,Bridge
Goa,2020,April,Wednesday,20:41,Fatal,5,Truck,13,0,Clear,National Highway,Dry,Dawn,Police Checkpost,62,59,Expired,Yes,Bridge
Puducherry,2023,April,Sunday,01:25,Fatal,5,Cycle,13,3,Rainy,Village Road,Dry,Dark,Signs,79,30,None,Yes,Intersection
Tamil Nadu,2022,November,Tuesday,04:04,Serious,1,Truck,4,0,Foggy,State Highway,Dry,Dawn,Police Checkpost,38,31,Expired,Yes,Bridge
Punjab,2022,May,Friday,21:28,Minor,1,Bus,9,1,Clear,Village Road,Wet,Dawn,Signs,110,47,None,No,Bridge
Telangana,2018,September,Tuesday,15:13,Fatal,2,Car,12,0,Foggy,Urban Road,Dry,Dark,Signals,119,46,None,Yes,Straight Road
Maharashtra,2020,January,Monday,15:32,Minor,2,Car,8,1,Stormy,Urban Road,Wet,Dawn,None,65,38,None,No,Straight Road
Uttarakhand,2020,January,Friday,05:14,Serious,1,Pedestrian,9,1,Rainy,Village Road,Dry,Daylight,None,95,37,None,No,Intersection
Punjab,2021,August,Monday,07:16,Fatal,4,Bus,11,0,Foggy,State Highway,Under Construction,Dawn,Signs,73,25,None,Yes,Straight Road
Telangana,2018,September,Sunday,02:51,Fatal,2,Cycle,10,5,Rainy,Urban Road,Wet,Dusk,Signals,111,59,None,Yes,Bridge
Gujarat,2019,January,Monday,22:17,Fatal,3,Truck,10,5,Stormy,National Highway,Damaged,Dawn,None,104,48,Expired,Yes,Bridge
Andhra Pradesh,2018,May,Wednesday,02:35,Minor,5,Auto-Rickshaw,15,2,Rainy,Urban Road,Under Construction,Dawn,Signs,101,38,Valid,No,Straight Road
West Bengal,2021,April,Thursday,22:58,Minor,2,Pedestrian,10,2,Rainy,National Highway,Under Construction,Dark,Signs,94,27,Expired,No,Bridge
Kerala,2023,June,Monday,07:25,Serious,1,Car,10,2,Clear,State Highway,Wet,Dawn,None,117,49,Expired,Yes,Straight Road
Uttarakhand,2021,August,Monday,13:32,Minor,3,Truck,13,1,Rainy,Village Road,Wet,Dusk,Signs,104,28,Valid,No,Intersection
Maharashtra,2018,February,Thursday,04:09,Fatal,1,Pedestrian,5,0,Clear,National Highway,Wet,Dark,None,62,37,None,Yes,Straight Road
Karnataka,2019,July,Tuesday,05:40,Serious,5,Truck,12,0,Clear,Village Road,Damaged,Dark,Signs,52,38,Expired,Yes,Straight Road
Odisha,2019,February,Sunday,07:43,Fatal,3,Two-Wheeler,11,1,Foggy,State Highway,Under Construction,Dawn,Signs,85,37,Expired,Yes,Intersection
Rajasthan,2021,January,Tuesday,16:38,Minor,3,Truck,8,4,Clear,Urban Road,Wet,Daylight,Signs,61,43,Valid,No,Curve
Jharkhand,2023,September,Saturday,07:48,Fatal,4,Bus,9,1,Clear,Urban Road,Damaged,Dusk,None,44,49,Expired,Yes,Bridge
Goa,2021,November,Tuesday,07:00,Minor,3,Pedestrian,7,2,Clear,State Highway,Dry,Dusk,Signals,53,54,Valid,No,Intersection
Madhya Pradesh,2019,May,Sunday,17:41,Fatal,3,Pedestrian,10,0,Clear,Urban Road,Under Construction,Dusk,Signs,53,48,Valid,Yes,Bridge
Odisha,2022,January,Sunday,09:58,Serious,3,Bus,12,2,Clear,Village Road,Dry,Dawn,None,100,33,None,Yes,Straight Road
West Bengal,2018,February,Wednesday,14:56,Fatal,2,Cycle,9,5,Rainy,Urban Road,Wet,Daylight,Police Checkpost,90,43,Valid,Yes,Curve
Tamil Nadu,2021,November,Friday,01:42,Serious,5,Truck,8,5,Foggy,National Highway,Damaged,Dark,Signs,39,38,None,No,Curve
Haryana,2018,February,Saturday,00:28,Fatal,4,Car,14,1,Clear,State Highway,Dry,Daylight,Police Checkpost,103,40,Valid,Yes,Bridge
Punjab,2021,November,Monday,06:22,Serious,1,Cycle,5,0,Clear,Urban Road,Under Construction,Daylight,Police Checkpost,67,65,None,Yes,Curve
Andhra Pradesh,2021,August,Wednesday,06:12,Fatal,1,Car,6,2,Rainy,Village Road,Under Construction,Dawn,None,48,36,Expired,Yes,Bridge
Nagaland,2021,December,Monday,06:37,Fatal,2,Bus,6,4,Clear,State Highway,Dry,Dark,Signals,40,41,Expired,Yes,Straight Road
Gujarat,2021,September,Saturday,21:47,Minor,1,Cycle,9,3,Stormy,State Highway,Dry,Daylight,Police Checkpost,109,37,Valid,No,Straight Road
Delhi,2023,February,Friday,16:58,Minor,4,Truck,6,3,Rainy,State Highway,Under Construction,Dark,Police Checkpost,31,58,None,No,Intersection
Jammu and Kashmir,2023,December,Tuesday,06:12,Minor,3,Cycle,13,2,Foggy,Urban Road,Damaged,Dusk,Signs,107,20,Valid,No,Curve
Punjab,2019,December,Tuesday,10:39,Serious,2,Cycle,8,3,Rainy,National Highway,Dry,Dawn,Signs,89,36,Valid,Yes,Bridge
Arunachal Pradesh,2021,April,Friday,07:07,Fatal,5,Auto-Rickshaw,9,0,Stormy,State Highway,Wet,Dawn,None,53,48,Expired,Yes,Bridge
Rajasthan,2019,December,Sunday,14:13,Fatal,2,Auto-Rickshaw,8,1,Clear,National Highway,Damaged,Dusk,Signs,51,50,Expired,Yes,Curve
West Bengal,2023,April,Monday,23:45,Fatal,5,Auto-Rickshaw,14,3,Clear,Urban Road,Wet,Dawn,Signs,112,41,Valid,Yes,Curve
Odisha,2022,November,Sunday,18:49,Minor,3,Truck,5,1,Clear,State Highway,Dry,Dawn,Signals,37,57,None,No,Intersection
Uttar Pradesh,2018,June,Monday,05:40,Serious,4,Bus,5,0,Foggy,Village Road,Wet,Dark,Signs,32,45,Expired,No,Intersection
Odisha,2018,June,Tuesday,10:28,Serious,3,Cycle,8,4,Rainy,Village Road,Under Construction,Dusk,Signs,54,45,Valid,Yes,Straight Road
Himachal Pradesh,2023,February,Friday,08:10,Serious,2,Auto-Rickshaw,10,3,Rainy,National Highway,Under Construction,Dark,Police Checkpost,115,41,Valid,Yes,Bridge
Puducherry,2023,August,Wednesday,18:16,Minor,3,Cycle,14,3,Stormy,Village Road,Damaged,Dark,Signals,120,31,None,No,Intersection
Tripura,2021,August,Sunday,14:50,Minor,3,Truck,10,0,Clear,Village Road,Damaged,Dark,Signs,81,22,Valid,No,Bridge
Manipur,2022,May,Friday,03:41,Fatal,1,Pedestrian,6,5,Clear,State Highway,Damaged,Daylight,None,49,37,None,Yes,Bridge
Odisha,2018,October,Friday,18:58,Minor,3,Auto-Rickshaw,9,1,Stormy,National Highway,Under Construction,Dusk,Police Checkpost,83,58,None,No,Bridge
Jammu and Kashmir,2021,July,Saturday,17:21,Serious,2,Pedestrian,7,2,Clear,National Highway,Wet,Dusk,Signs,51,36,Valid,No,Straight Road
Himachal Pradesh,2023,August,Thursday,15:14,Minor,2,Cycle,10,3,Rainy,Urban Road,Dry,Dark,Signals,96,23,Valid,No,Curve
Uttar Pradesh,2018,November,Thursday,03:28,Fatal,4,Two-Wheeler,10,4,Rainy,State Highway,Dry,Dusk,Signals,60,40,None,Yes,Curve
Telangana,2018,October,Sunday,04:55,Minor,3,Two-Wheeler,13,1,Foggy,National Highway,Wet,Dawn,Signals,106,42,Expired,No,Intersection
Tripura,2022,October,Saturday,22:25,Fatal,3,Car,12,4,Stormy,Urban Road,Dry,Dusk,Signs,105,26,Expired,Yes,Intersection
Goa,2023,August,Wednesday,19:24,Fatal,5,Car,14,0,Clear,Urban Road,Wet,Dark,Police Checkpost,84,41,Expired,Yes,Straight Road
Karnataka,2021,October,Saturday,11:32,Fatal,3,Car,9,3,Clear,State Highway,Wet,Dusk,Police Checkpost,57,24,Expired,Yes,Straight Road
Arunachal Pradesh,2022,May,Monday,19:02,Minor,5,Auto-Rickshaw,14,4,Clear,State Highway,Wet,Dark,Police Checkpost,103,35,Expired,No,Straight Road
Jammu and Kashmir,2023,August,Sunday,23:23,Fatal,3,Pedestrian,8,5,Clear,Village Road,Wet,Dawn,Signs,70,35,None,Yes,Straight Road
Andhra Pradesh,2021,November,Friday,13:45,Serious,4,Auto-Rickshaw,10,5,Clear,Urban Road,Wet,Dark,Police Checkpost,71,40,Valid,Yes,Curve
Gujarat,2021,October,Thursday,18:39,Fatal,3,Bus,9,0,Foggy,Urban Road,Dry,Daylight,Police Checkpost,57,55,Expired,Yes,Curve
Maharashtra,2019,January,Friday,14:28,Minor,3,Car,7,0,Rainy,Village Road,Wet,Dusk,Signals,39,41,Expired,No,Intersection
Madhya Pradesh,2023,October,Thursday,05:08,Serious,5,Pedestrian,14,0,Stormy,Urban Road,Damaged,Daylight,Signs,103,39,None,No,Bridge
Delhi,2023,March,Saturday,18:23,Fatal,3,Bus,12,3,Clear,National Highway,Under Construction,Dark,Signs,96,16,None,Yes,Intersection
Telangana,2022,February,Saturday,17:29,Serious,5,Bus,12,3,Rainy,Village Road,Under Construction,Dawn,Police Checkpost,67,33,None,Yes,Curve
Tripura,2020,February,Tuesday,21:53,Fatal,2,Bus,11,5,Clear,Urban Road,Dry,Daylight,Signs,118,38,None,Yes,Straight Road
Gujarat,2021,April,Thursday,06:45,Serious,5,Truck,13,5,Clear,National Highway,Wet,Daylight,Police Checkpost,69,45,None,Yes,Curve
Rajasthan,2018,March,Thursday,11:55,Fatal,3,Truck,9,4,Clear,National Highway,Dry,Dawn,Signs,58,52,None,Yes,Intersection
Odisha,2018,August,Friday,03:41,Minor,1,Pedestrian,10,1,Foggy,Village Road,Under Construction,Daylight,None,91,31,Expired,No,Bridge
Assam,2020,February,Monday,07:43,Minor,4,Two-Wheeler,12,5,Clear,National Highway,Wet,Dusk,Signs,81,57,Expired,No,Straight Road
Chandigarh,2023,February,Sunday,00:50,Serious,2,Bus,6,4,Rainy,Urban Road,Under Construction,Dusk,Police Checkpost,69,59,None,Yes,Bridge
Tamil Nadu,2021,December,Friday,23:18,Fatal,2,Cycle,6,1,Clear,National Highway,Under Construction,Dark,Signs,59,32,None,Yes,Intersection
Mizoram,2022,January,Monday,11:17,Serious,4,Car,12,1,Clear,Urban Road,Dry,Daylight,Police Checkpost,87,23,None,No,Curve
Uttarakhand,2023,August,Tuesday,18:40,Serious,2,Pedestrian,5,1,Rainy,State Highway,Wet,Dawn,None,31,54,Valid,No,Bridge
Madhya Pradesh,2021,May,Monday,23:56,Fatal,3,Cycle,13,5,Rainy,Village Road,Wet,Dawn,Signals,104,63,Expired,Yes,Bridge
Jharkhand,2023,September,Saturday,05:14,Minor,2,Bus,7,0,Rainy,Village Road,Wet,Dark,Signs,75,47,Expired,No,Straight Road
Meghalaya,2023,February,Wednesday,03:23,Fatal,3,Bus,6,3,Clear,National Highway,Dry,Daylight,Signals,49,41,None,Yes,Curve
